発売年,ハード,ジャンル,容量(bit),メーカー,タイトル,価格,ジョブカテゴリ,カウント,マッパー,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1984-01-01,MSX,-,16K,タイトー／ニデコ,雀フレンド,"￥4,800","￥5,000代",1,*0,,,,,,,,
1985-01-01,MSX,-,16K,宇宙堂,雀華,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX2,-,1M,ソニー,雀聖,"￥6,800","￥7,000代",1,ASCII_16KB+SRAM,,,,,ラミン・ジャヴァディ,"デイヴィッド・ベニオフ | D・B・ワイス",,
1987-01-01,MSX,-,32K,テクノソフト,雀友,"￥5,400","￥5,500代",1,Mirrored,,,,,,,,
1987-01-01,MSX,-,1M,ピクセル,生命惑星M36生きていたマザーブレイン,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,MSX2,-,1M,ソニー,聖飢魔IIスペシャル悪魔の逆襲,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1985-01-01,MSX,-,32K,アイレム／アスキー,聖拳アチョー,"￥5,800","￥6,000代",1,Mirrored,,,,"西山隆志[注 1]",,,津村建二,
1987-01-01,MSX,-,1M,アスキー,戦場の狼,"￥5,800","￥6,000代",1,ASCII_8KB,,,,藤原得郎,河本圭代,,,
1986-01-01,MSX2,-,1M,アスキー,戦場の狼,"￥5,980","￥6,000代",1,?,,,,藤原得郎,河本圭代,,,
1984-01-01,MSX,-,16K,アスキー,倉庫番,"￥4,800","￥5,000代",1,Mirrored,,,,今林宏行,,,,
1985-01-01,MSX,-,16K,ポニーキャニオン,窓ふき会社のスイングくん,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1992-01-01,MSX2,-,8M,光栄,蒼き狼と白き牝鹿元朝秘史,￥,￥0代,1,koei+SRAM,,,,,大島ミチル,,シブサワ・コウ,
1988-01-01,MSX,-,2M,光栄,蒼き狼と白き牝鹿ジンギスカン,"￥9,800","￥10,000代",1,koei+SRAM,,,,,菅野よう子,,シブサワ・コウ,
1988-01-01,MSX2,-,4M,光栄,蒼き狼と白き牝鹿ジンギスカン,￥,￥0代,1,koei+SRAM,,,,,菅野よう子,,シブサワ・コウ,
1986-01-01,MSX2,-,1M,マイクロキャビン,大戦略,￥,￥0代,1,ASCII_16KB+SRAM,,,,,,,,
1987-01-01,MSX2,-,2M,ファルコム,太陽の神殿アステカⅡ,"￥7,800","￥8,000代",1,ASCII_8KB,,加藤正幸,橋本昌哉,山根ともお|横山宏,阿部隆人,宮本恒之,,
1990-01-01,MSX2,-,4M,光栄,大航海時代,￥,￥0代,1,koei+SRAM,,,,,,,,
1984-01-01,MSX,-,16K,カシオ,大障害競馬,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,32K,キャリーラボ,大脱走,￥,￥0代,1,Mirrored,,,,,エルマー・バーンスタイン,ポール・ブリックヒル,,
1986-01-01,MSX,-,32K,ポニーキャニオン,谷川浩司の将棋指南,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,MSX2,-,1M,ポニーキャニオン,谷川浩司の将棋指南II名人への道,"￥5,500","￥5,500代",1,ASCII_8KB+SRAM,,,,,,,,
1980-01-01,不明,-,不明,ストラッドフォード,中学必修英作文,￥,￥0代,1,?,,,,,,,,
1987-01-01,MSX,-,32K,ストラッドフォード,中学必修英文法[中学1年],￥,￥0代,1,Mirrored,,,,,,,,
1985-01-01,MSX,-,32K,ボースティック,超時空要塞マクロスカウントダウン,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,コスモスコンピュータ,超戦士ザイダーバトルオブペガス,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1988-01-01,MSX2,-,1M,クロスメディア,釣りキチ三平ブルーマリン編,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1989-01-01,MSX2,-,2M,ビクター音産,釣りキチ三平釣り仙人編,"￥8,200","￥8,000代",1,ASCII_8KB,,,,,,,,
1991-01-01,MSXTurboR,-,8M,光栄,提督の決断,"￥14,800","￥15,000代",1,koei+SRAM,,,,,宮川泰,シブサワ・コウ,シブサワ・コウ,
1987-01-01,MSX2,-,1M,タイトー／ニデコ,天国よいとこ,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1986-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,天才ラビアン大奮戦,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX,-,32K,ジャスト,天使たちの午後,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX2,-,1M,BIT2,伝説の聖戦士アシュギーネ,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,MSX2,-,2M,ＳＮＫ,怒,"￥6,800","￥7,000代",1,ASCII_16KB,,,,,,,,
1986-01-01,MSX,-,4M,アスキー,日本語MSX-Write,"￥19,800","￥20,000代",1,ASCII_16KB,,,,,,,,
1988-01-01,MSX2,-,4M,アスキー,日本語ワードプロセッサMSX-WriteII,"￥19,800","￥20,000代",1,ASCII_8KB+SRAM,,,,,,,,
1986-01-01,MSX,-,不明,東芝/東芝ＥＭＩ,日本語ワードプロセッサ漢字君II,"￥14,800","￥15,000代",1,?,,,,,,,,
1987-01-01,MSX,-,32K,ストラッドフォード,日本史年表,￥,￥0代,1,Mirrored,,,,,,,,
1983-01-01,MSX,-,16K,マイクロキャビン,忍者くん,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX2,-,1M,ＨＡＬ研究所,忍者くん阿修羅の章,"￥5,600","￥5,500代",1,ASCII_8KB,,,西澤龍一|藤沢勉,西澤龍一|藤沢勉,,,,
1984-01-01,MSX,-,32K,日本デクスタ,忍者くん魔城の冒険,"￥5,700","￥5,500代",1,Mirrored,,,西澤龍一|藤沢勉,西澤龍一|藤沢勉,,,,
1986-01-01,MSX,-,32K,日本デクスタ,忍者じゃじゃ丸くん,"￥5,700","￥5,500代",1,Mirrored,,,,,,,関雅行,
1986-01-01,MSX,-,32K,ポニーキャニオン,忍者プリンセス,"￥4,900","￥5,000代",1,Mirrored,,,,川崎吉喜|小玉理恵子,,,,
1984-01-01,MSX,-,16K,ハドソン,忍者影,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1989-01-01,MSX2,-,2M,ポニーキャニオン,熱血柔道,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1984-01-01,MSX,-,16K,カシオ,熱戦甲子園,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,MSX2,-,2M,ジャレコ,燃えろ!!熱闘野球'88,"￥8,500","￥8,500代",1,ASCII_8KB,,,,,,,,
1987-01-01,MSX,-,1M,KGD,覇邪の封印,"￥7,800","￥8,000代",1,ASCII_8KB,,,,,堺香子,阿賀伸宏|鬼良あきら,,
1989-01-01,MSX2,-,1M,コナミ,牌の魔術師,"￥5,800","￥6,000代",1,"[牌の魔術師] rom",,,,,,,,
1984-01-01,MSX,-,16K,ソニー,爆走スタントレーシング(CARJAMBOREE),"￥4,500","￥4,500代",1,Mirrored,,,,,,,,
1988-01-01,MSX2,-,2M,日本テレネット,反生命戦機アンドロギュヌス,"￥7,800","￥8,000代",1,ASCII_16KB,,,,,,,,
1985-01-01,MSX,-,16K,マイクロキャビン,飛車,￥,￥0代,1,Mirrored,,,,,,,,
1985-01-01,MSX,-,16K,カシオ,描きくけコン,"￥4,800","￥5,000代",1,*0,,,,,,,,
1986-01-01,MSX2,-,1M,マイクロキャビン,本格将棋棋太平,￥,￥0代,1,ASCII_8KB,,,,,,,,
1980-01-01,不明,-,不明,ヤマハ,文節変換カートリッジ,￥,￥0代,1,?,,,,,,,,
1985-01-01,MSX,-,不明,松下電器産業,文節変換熟語ユニット,"￥14,800","￥15,000代",1,?,,,,,,,,
1984-01-01,MSX,-,16K,徳間書店／テクノポリス,忘れじのナウシカ・ゲーム,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1987-01-01,MSX,-,1M,コンパイル,魔王ゴルベリアス,"￥5,900","￥6,000代",1,ASCII_16KB,,,,,,,,
1987-01-01,MSX2,-,1M,カプコン,魔界島七つの島大冒険,"￥6,800","￥7,000代",1,ASCII_16KB,,,小林成光,黒川真圭,藤田晴美,,,
1986-01-01,MSX,-,32K,カシオ,魔城伝説,"￥4,800","￥5,000代",1,?,,,,,,,,
1986-01-01,MSX,-,32K,コナミ,魔城伝説,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX,-,1M,コナミ,魔城伝説Ⅱガリウスの迷宮(THEMAZEOFGALIOUS),"￥4,980","￥5,000代",1,Konami48KB(noSCC),,,,,,,,
1987-01-01,MSX,-,2M,コナミ,魔城伝説Ⅲ完結編シャロム(KINGHTMAREIIISHALOM),"￥5,980","￥6,000代",1,Konami48KB(noSCC),,,,,,,,
1987-01-01,MSX,-,64K,ポニーキャニオン,魔性の館ガバリン,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,ソニー,魔法使いウィズ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX2,-,1M,ザインソフト,未来,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,MSX,-,1M,ザインソフト,未来,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1980-01-01,不明,-,不明,アイレム,密林の秘法,￥,￥0代,1,?,,,,,,,,
1986-01-01,MSX,-,1M,日本テレネット,夢幻戦士ヴァリス,"￥6,800","￥7,000代",1,ASCII_8KB,,林浩樹(グラフィック)|小川史生(音楽),秋篠雅弘,ウルフ・チーム|林浩樹,小川史生,林浩樹|三橋幸雄,林浩樹,
1986-01-01,MSX,-,1M,コナミ,夢大陸アドベンチャー(PENGUINADVENTURE),"￥4,980","￥5,000代",1,Konami48KB(noSCC),,,,,,,,
1987-01-01,MSX,-,1M,電波新聞社,迷宮への扉(GATEOFLABYRINTH),"￥5,300","￥5,500代",1,ASCII_16KB,,,,,,,,
1986-01-01,MSX,-,1M,ＨＡＬ研究所,迷宮神話,"￥5,600","￥5,500代",1,ASCII_16KB,,,,,,,,
1984-01-01,MSX,-,32K,ハドソン,野球狂,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,MSX2,-,2M,タイトー／ニデコ,山村美紗サスペンス京都龍の寺殺人事件,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1988-01-01,MSX2,-,2M,システムサコム,幽霊君,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,長野洋|岡本喜八|松木ひろし|窪田篤人|渡邉祐介|長野洋|尾中洋一,,
1980-01-01,不明,-,不明,ストラッドフォード,幼児のえいご,￥,￥0代,1,?,,,,,,,,
1986-01-01,MSX,-,32K,カシオ,妖怪屋敷,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,32K,ボースティック,妖怪探偵ちまちま,"￥5,600","￥5,500代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,16K,ポニーキャニオン,連珠とおじゃま犬たち,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1987-01-01,MSX,-,不明,立石電気,連続血圧測定プログラム,"￥39,800","￥40,000代",1,?,,,,,,,,
